Title,Price,Link,Image Link,Sold Date
6 ORIGINAL IMAGES - EURO 2012 - FRANCE - LOT 1 including STEVE MANDANDA,"49,850.60 VND",https://www.ebay.com/itm/167349478819,https://i.ebayimg.com/images/g/-vAAAOSwp9JnxCEb/s-l140.jpg,"Sold  Mar 9, 2025"
Panini Adrenalyn XL Champions League 10/11 - 190 - Steve Mandanda - GOAL STOPPER,"27,694.78 VND",https://www.ebay.com/itm/292182900194,https://i.ebayimg.com/images/g/jpwAAOSw3npb6egS/s-l140.jpg,"Sold  Mar 7, 2025"
Panini Adrenalyn XL Champions League 11/12 - 192 - Steve Mandanda,"27,694.78 VND",https://www.ebay.com/itm/292182869377,https://i.ebayimg.com/images/g/Cz0AAOSwxVFfq04I/s-l140.jpg,"Sold  Mar 7, 2025"
N°405 Panini Foot 2024-2025 Ligue 1 Steve Mandanda Stade Rennais RC,"27,694.78 VND",https://www.ebay.com/itm/335739979021,https://i.ebayimg.com/images/g/7UAAAOSwWXdnZcEd/s-l140.jpg,"Sold  Mar 1, 2025"
Panini Euro 2012 - Steve Mandanda France No. 462,"32,765.67 VND",https://www.ebay.com/itm/192679828332,https://i.ebayimg.com/images/g/s6sAAOSwilVbtxvQ/s-l140.jpg,"Sold  Jan 3, 2025"
Steve Mandanda Olympique de Marseille Home Goalkeeper Jersey 2019-20 Large ,"1,534,620.00 VND",https://www.ebay.com/itm/225357854887,https://i.ebayimg.com/images/g/accAAOSwwTZiTNbM/s-l140.jpg,"Sold  Dec 31, 2024"
6 ORIGINAL IMAGES - EURO 2012 - FRANCE - LOT 1 including STEVE MANDANDA,"49,850.60 VND",https://www.ebay.com/itm/167349478819,https://i.ebayimg.com/images/g/-vAAAOSwp9JnxCEb/s-l140.jpg,"Sold  Mar 9, 2025"
Panini Adrenalyn XL Champions League 10/11 - 190 - Steve Mandanda - GOAL STOPPER,"27,694.78 VND",https://www.ebay.com/itm/292182900194,https://i.ebayimg.com/images/g/jpwAAOSw3npb6egS/s-l140.jpg,"Sold  Mar 7, 2025"
Panini Adrenalyn XL Champions League 11/12 - 192 - Steve Mandanda,"27,694.78 VND",https://www.ebay.com/itm/292182869377,https://i.ebayimg.com/images/g/Cz0AAOSwxVFfq04I/s-l140.jpg,"Sold  Mar 7, 2025"
N°405 Panini Foot 2024-2025 Ligue 1 Steve Mandanda Stade Rennais RC,"27,694.78 VND",https://www.ebay.com/itm/335739979021,https://i.ebayimg.com/images/g/7UAAAOSwWXdnZcEd/s-l140.jpg,"Sold  Mar 1, 2025"
Panini Euro 2012 - Steve Mandanda France No. 462,"32,765.67 VND",https://www.ebay.com/itm/192679828332,https://i.ebayimg.com/images/g/s6sAAOSwilVbtxvQ/s-l140.jpg,"Sold  Jan 3, 2025"
Steve Mandanda Olympique de Marseille Home Goalkeeper Jersey 2019-20 Large ,"1,534,620.00 VND",https://www.ebay.com/itm/225357854887,https://i.ebayimg.com/images/g/accAAOSwwTZiTNbM/s-l140.jpg,"Sold  Dec 31, 2024"
